Fecha_Hora,pH,Oxigeno_Disuelto_mgL,Turbidez_NTU,Temperatura_C,Indice_Calidad_Agua,Clasificacion,Temporada,hora_sin,hora_cos,dia_semana,dia_mes,pH_lag1,turb_lag1,OD_lag1,temp_lag1,pH_lag2,turb_lag2,OD_lag2,temp_lag2,pH_lag4,turb_lag4,OD_lag4,temp_lag4,pH_lag8,turb_lag8,OD_lag8,temp_lag8,pH_lag16,turb_lag16,OD_lag16,temp_lag16,turb_delta1,turb_delta4,turb_delta8,pH_delta1,OD_delta1,temp_delta1,turb_mean_4,turb_std_4,turb_max_4,OD_mean_4,turb_mean_8,turb_std_8,turb_max_8,OD_mean_8,turb_mean_16,turb_std_16,turb_max_16,OD_mean_16,turb_log,anomalia
2026-04-01 06:30:00,7.14,10.98,0.15,22.27,95.1,EXCELENTE,SECO,1.0,6.123233995736766e-17,2,1,7.12,1.09,10.92,22.57,7.12,0.36,10.89,23.06,7.09,0.02,10.81,22.91,7.12,1.19,10.26,23.48,7.03,0.12,10.47,24.37,-0.9400000000000001,0.13,-1.04,0.019999999999999574,0.0600000000000005,-0.3000000000000007,0.6625000000000001,0.4785655649960619,1.09,10.8525,0.5,0.47479318806041365,1.09,10.8775,0.42375,0.46323320260965756,1.19,10.7,0.1397619423751587,0
2026-04-01 06:45:00,7.09,11.27,0.19,22.39,94.8,EXCELENTE,SECO,1.0,6.123233995736766e-17,2,1,7.14,0.15,10.98,22.27,7.12,1.09,10.92,22.57,7.1,1.05,10.62,22.93,7.09,0.22,11.1,22.74,7.1,0.12,10.33,23.92,0.04000000000000001,-0.8600000000000001,-0.03,-0.04999999999999982,0.28999999999999915,0.120000000000001,0.44750000000000006,0.4379021960818801,1.09,11.015,0.49624999999999997,0.47743174530876276,1.09,10.89875,0.428125,0.46049565687419897,1.19,10.75875,0.17395330712343804,0
2026-04-01 07:00:00,7.15,10.88,0.02,22.54,95.7,EXCELENTE,SECO,0.9659258262890683,-0.25881904510252063,2,1,7.09,0.19,11.27,22.39,7.14,0.15,10.98,22.27,7.12,0.36,10.89,23.06,7.12,1.04,10.77,23.29,7.1,0.21,10.45,24.06,-0.17,-0.33999999999999997,-1.02,0.0600000000000005,-0.3899999999999988,0.14999999999999858,0.36250000000000004,0.4903994970089863,1.09,11.0125,0.36874999999999997,0.4466842125196341,1.09,10.912500000000001,0.41625,0.46886920706454305,1.19,10.785625,0.019802627296179712,0
2026-04-01 07:15:00,7.07,11.11,1.24,22.58,93.0,EXCELENTE,SECO,0.9659258262890683,-0.25881904510252063,2,1,7.15,0.02,10.88,22.54,7.09,0.19,11.27,22.39,7.12,1.09,10.92,22.57,7.09,0.07,10.93,22.83,7.07,0.05,10.6,23.85,1.22,0.1499999999999999,1.17,-0.08000000000000007,0.22999999999999865,0.03999999999999915,0.4000000000000001,0.5646828018159104,1.24,11.059999999999999,0.515,0.520357020296093,1.24,10.935,0.490625,0.5002328624417499,1.24,10.8175,0.8064758658669484,0
2026-04-01 07:30:00,7.14,11.11,1.01,22.52,93.1,EXCELENTE,SECO,0.9659258262890683,-0.25881904510252063,2,1,7.07,1.24,11.11,22.58,7.15,0.02,10.88,22.54,7.14,0.15,10.98,22.27,7.09,0.02,10.81,22.91,7.03,0.03,10.34,23.88,-0.22999999999999998,0.86,0.99,0.0699999999999994,0.0,-0.05999999999999872,0.6150000000000001,0.6003610025087683,1.24,11.0925,0.63875,0.5032590216351246,1.24,10.9725,0.551875,0.5000695784921668,1.24,10.865625,0.6981347220709844,0
2026-04-01 07:45:00,7.11,10.74,0.11,22.52,94.4,EXCELENTE,SECO,0.9659258262890683,-0.25881904510252063,2,1,7.14,1.01,11.11,22.52,7.07,1.24,11.11,22.58,7.09,0.19,11.27,22.39,7.1,1.05,10.62,22.93,7.05,1.01,10.65,23.64,-0.9,-0.08,-0.9400000000000001,-0.02999999999999936,-0.3699999999999992,0.0,0.5950000000000001,0.6202418882984283,1.24,10.959999999999999,0.52125,0.5032590216351246,1.24,10.9875,0.495625,0.4957011028163376,1.24,10.87125,0.10436001532424277,0
2026-04-01 08:00:00,7.11,11.04,1.08,22.15,91.5,EXCELENTE,SECO,0.8660254037844387,-0.4999999999999998,2,1,7.11,0.11,10.74,22.52,7.14,1.01,11.11,22.52,7.15,0.02,10.88,22.54,7.12,0.36,10.89,23.06,7.18,0.11,10.6,23.61,0.9700000000000001,1.06,0.7200000000000001,0.0,0.29999999999999893,-0.370000000000001,0.8600000000000001,0.5091823510950341,1.24,11.0,0.6112500000000001,0.5337585730325222,1.24,11.006250000000001,0.55625,0.5046302276584972,1.24,10.89875,0.7323678937132266,0
2026-04-01 08:15:00,7.15,10.92,0.19,22.23,94.5,EXCELENTE,SECO,0.8660254037844387,-0.4999999999999998,2,1,7.11,1.08,11.04,22.15,7.11,0.11,10.74,22.52,7.07,1.24,11.11,22.58,7.12,1.09,10.92,22.57,7.04,0.06,10.95,23.17,-0.8900000000000001,-1.05,-0.9000000000000001,0.040000000000000036,-0.11999999999999922,0.08000000000000185,0.5975000000000001,0.5185476512979947,1.08,10.9525,0.49875,0.5128752981267195,1.24,11.00625,0.564375,0.49709782739416597,1.24,10.896875,0.17395330712343804,0
2026-04-01 08:30:00,7.17,11.07,0.04,22.6,95.4,EXCELENTE,SECO,0.8660254037844387,-0.4999999999999998,2,1,7.15,0.19,10.92,22.23,7.11,1.08,11.04,22.15,7.14,1.01,11.11,22.52,7.14,0.15,10.98,22.27,7.12,1.19,10.26,23.48,-0.15,-0.97,-0.10999999999999999,0.019999999999999574,0.15000000000000036,0.370000000000001,0.3550000000000001,0.4872029009218508,1.08,10.9425,0.48500000000000004,0.5248945472323805,1.24,11.0175,0.4925,0.4835631637473365,1.24,10.9475,0.039220713153281295,0
2026-04-01 08:45:00,7.18,10.52,0.23,22.59,95.6,EXCELENTE,SECO,0.8660254037844387,-0.4999999999999998,2,1,7.17,0.04,11.07,22.6,7.15,0.19,10.92,22.23,7.11,0.11,10.74,22.52,7.09,0.19,11.27,22.39,7.09,0.22,11.1,22.74,0.19,0.12000000000000001,0.04000000000000001,0.009999999999999787,-0.5500000000000007,-0.010000000000001563,0.38500000000000006,0.4704961919789221,1.08,10.8875,0.49000000000000005,0.5218647881806715,1.24,10.92375,0.49312500000000004,0.4831938016986559,1.24,10.91125,0.20701416938432615,0
2026-04-01 09:00:00,7.1,11.14,0.11,22.41,95.4,EXCELENTE,SECO,0.7071067811865476,-0.7071067811865475,2,1,7.18,0.23,10.52,22.59,7.17,0.04,11.07,22.6,7.11,1.08,11.04,22.15,7.15,0.02,10.88,22.54,7.12,1.04,10.77,23.29,-0.12000000000000001,-0.9700000000000001,0.09,-0.08000000000000007,0.620000000000001,-0.17999999999999972,0.14250000000000007,0.08460693430998106,0.23,10.9125,0.5012500000000001,0.511145422416305,1.24,10.956249999999999,0.435,0.4687429999477326,1.24,10.934375,0.10436001532424277,0
2026-04-01 09:15:00,7.1,11.29,0.14,22.36,93.9,EXCELENTE,SECO,0.7071067811865476,-0.7071067811865475,2,1,7.1,0.11,11.14,22.41,7.18,0.23,10.52,22.59,7.15,0.19,10.92,22.23,7.07,1.24,11.11,22.58,7.09,0.07,10.93,22.83,0.030000000000000013,-0.04999999999999999,-1.1,0.0,0.14999999999999858,-0.05000000000000071,0.13000000000000006,0.07874007874011887,0.23,11.004999999999999,0.36375,0.42466583501451044,1.08,10.97875,0.43937500000000007,0.4654240897647363,1.24,10.956875,0.13102826240640408,0
2026-04-01 09:30:00,7.19,10.7,0.11,22.78,95.9,EXCELENTE,SECO,0.7071067811865476,-0.7071067811865475,2,1,7.1,0.14,11.29,22.36,7.1,0.11,11.14,22.41,7.17,0.04,11.07,22.6,7.14,1.01,11.11,22.52,7.09,0.02,10.81,22.91,-0.030000000000000013,0.07,-0.9,0.09000000000000075,-0.5899999999999999,0.4200000000000017,0.14750000000000008,0.056789083458003764,0.23,10.9125,0.25125000000000003,0.3397241528063614,1.08,10.927499999999998,0.445,0.4605359196993578,1.24,10.950000000000001,0.10436001532424277,0
2026-04-01 09:45:00,7.14,10.53,0.4,22.75,94.3,EXCELENTE,SECO,0.7071067811865476,-0.7071067811865475,2,1,7.19,0.11,10.7,22.78,7.1,0.14,11.29,22.36,7.18,0.23,10.52,22.59,7.11,0.11,10.74,22.52,7.1,1.05,10.62,22.93,0.29000000000000004,0.17,0.29000000000000004,-0.05000000000000071,-0.16999999999999993,-0.030000000000001137,0.19000000000000006,0.14071247279470328,0.4,10.915,0.28750000000000003,0.33796660866338346,1.08,10.90125,0.40437500000000004,0.4313539729734734,1.24,10.944375,0.33647223662121295,0
2026-04-01 10:00:00,7.19,11.21,0.18,22.74,94.5,EXCELENTE,SECO,0.49999999999999994,-0.8660254037844387,2,1,7.14,0.4,10.53,22.75,7.19,0.11,10.7,22.78,7.1,0.11,11.14,22.41,7.11,1.08,11.04,22.15,7.12,0.36,10.89,23.06,-0.22000000000000003,0.06999999999999999,-0.9000000000000001,0.05000000000000071,0.6800000000000015,-0.010000000000001563,0.20750000000000007,0.13149778198382958,0.4,10.932500000000001,0.175,0.10810048235652933,0.4,10.9225,0.393125,0.4349209698324513,1.24,10.964374999999999,0.16551443847757338,0
2026-04-01 10:15:00,7.14,10.98,0.05,22.73,94.1,EXCELENTE,SECO,0.49999999999999994,-0.8660254037844387,2,1,7.19,0.18,11.21,22.74,7.14,0.4,10.53,22.75,7.1,0.14,11.29,22.36,7.15,0.19,10.92,22.23,7.12,1.09,10.92,22.57,-0.13,-0.09000000000000001,-0.14,-0.05000000000000071,-0.23000000000000043,-0.00999999999999801,0.18500000000000005,0.15286159317064174,0.4,10.855,0.1575,0.11634308868907645,0.4,10.93,0.328125,0.40015361633586005,1.24,10.968125,0.048790164169432,0
2026-04-01 10:30:00,7.23,10.82,0.28,22.82,94.9,EXCELENTE,SECO,0.49999999999999994,-0.8660254037844387,2,1,7.14,0.05,10.98,22.73,7.19,0.18,11.21,22.74,7.19,0.11,10.7,22.78,7.17,0.04,11.07,22.6,7.14,0.15,10.98,22.27,0.23000000000000004,0.17000000000000004,0.24000000000000002,0.09000000000000075,-0.16000000000000014,0.08999999999999986,0.22750000000000006,0.148632656797444,0.4,10.885,0.1875,0.11259916264596043,0.4,10.89875,0.33625,0.39760742783135566,1.24,10.958124999999999,0.2468600779315258,0
2026-04-01 10:45:00,7.22,10.81,0.03,22.88,94.4,EXCELENTE,SECO,0.49999999999999994,-0.8660254037844387,2,1,7.23,0.28,10.82,22.82,7.14,0.05,10.98,22.73,7.14,0.4,10.53,22.75,7.18,0.23,10.52,22.59,7.09,0.19,11.27,22.39,-0.25,-0.37,-0.2,-0.010000000000000675,-0.009999999999999787,0.05999999999999872,0.13500000000000006,0.11733143937865413,0.28,10.955000000000002,0.1625,0.12349089035228479,0.4,10.935,0.32625000000000004,0.4034992771575517,1.24,10.929375,0.0295588022415444,0
2026-04-01 11:00:00,7.24,10.36,0.21,22.89,96.4,EXCELENTE,SECO,0.258819045102521,-0.9659258262890682,2,1,7.22,0.03,10.81,22.88,7.23,0.28,10.82,22.82,7.19,0.18,11.21,22.74,7.1,0.11,11.14,22.41,7.15,0.02,10.88,22.54,0.18,0.03,0.09999999999999999,0.020000000000000462,-0.45000000000000107,0.010000000000001563,0.14250000000000007,0.12203141671990368,0.28,10.7425,0.175,0.122474487139159,0.4,10.8375,0.338125,0.3966227216553955,1.24,10.896875,0.19062035960864973,0
2026-04-01 11:15:00,7.25,10.59,0.06,23.22,95.0,EXCELENTE,SECO,0.258819045102521,-0.9659258262890682,2,1,7.24,0.21,10.36,22.89,7.22,0.03,10.81,22.88,7.14,0.05,10.98,22.73,7.1,0.14,11.29,22.36,7.07,1.24,11.11,22.58,-0.15,0.009999999999999995,-0.08000000000000002,0.009999999999999787,0.23000000000000043,0.3299999999999983,0.14500000000000005,0.11958260743101448,0.28,10.645,0.165,0.12884098726725135,0.4,10.75,0.26437499999999997,0.320061842982467,1.08,10.864374999999999,0.05826890812397577,0
2026-04-01 11:30:00,7.25,10.64,0.02,23.37,95.7,EXCELENTE,SECO,0.258819045102521,-0.9659258262890682,2,1,7.25,0.06,10.59,23.22,7.24,0.21,10.36,22.89,7.23,0.28,10.82,22.82,7.19,0.11,10.7,22.78,7.14,1.01,11.11,22.52,-0.039999999999999994,-0.26,-0.09,0.0,0.05000000000000071,0.15000000000000213,0.08000000000000006,0.0883176086632792,0.21,10.6,0.15375,0.13793761529867674,0.4,10.742500000000001,0.20249999999999999,0.25548646409023973,1.08,10.835,0.019802627296179712,0
2026-04-01 11:45:00,7.33,10.9,0.2,23.07,95.8,EXCELENTE,SECO,0.258819045102521,-0.9659258262890682,2,1,7.25,0.02,10.64,23.37,7.25,0.06,10.59,23.22,7.22,0.03,10.81,22.88,7.14,0.4,10.53,22.75,7.11,0.11,10.74,22.52,0.18000000000000002,0.17,-0.2,0.08000000000000007,0.2599999999999998,-0.3000000000000007,0.12250000000000005,0.09673847907287697,0.21,10.622499999999999,0.12875,0.09977653603356437,0.28,10.78875,0.208125,0.25430214968287895,1.08,10.845,0.18232155679395465,0
2026-04-01 12:00:00,7.3,10.65,0.27,23.39,95.2,EXCELENTE,SECO,1.2246467991473532e-16,-1.0,2,1,7.33,0.2,10.9,23.07,7.25,0.02,10.64,23.37,7.24,0.21,10.36,22.89,7.19,0.18,11.21,22.74,7.11,1.08,11.04,22.15,0.07,0.060000000000000026,0.09000000000000002,-0.03000000000000025,-0.25,0.3200000000000003,0.13750000000000007,0.11729592206608656,0.27,10.695,0.14,0.11084094137869054,0.28,10.71875,0.1575,0.10730020192587417,0.4,10.820625,0.23901690047049992,0
2026-04-01 12:15:00,7.35,10.62,0.2,23.42,94.2,EXCELENTE,SECO,1.2246467991473532e-16,-1.0,2,1,7.3,0.27,10.65,23.39,7.33,0.2,10.9,23.07,7.25,0.06,10.59,23.22,7.14,0.05,10.98,22.73,7.15,0.19,10.92,22.23,-0.07,0.14,0.15000000000000002,0.04999999999999982,-0.030000000000001137,0.030000000000001137,0.17250000000000004,0.10688779163216026,0.27,10.7025,0.15875,0.10602391913418148,0.28,10.673750000000002,0.15812500000000002,0.10753100328122445,0.4,10.801874999999999,0.18232155679395465,0
2026-04-01 12:30:00,7.28,10.84,0.17,23.52,95.9,EXCELENTE,SECO,1.2246467991473532e-16,-1.0,2,1,7.35,0.2,10.62,23.42,7.3,0.27,10.65,23.39,7.25,0.02,10.64,23.37,7.23,0.28,10.82,22.82,7.17,0.04,11.07,22.6,-0.03,0.15000000000000002,-0.11000000000000001,-0.0699999999999994,0.22000000000000064,0.09999999999999787,0.21000000000000005,0.042426406871194026,0.27,10.752500000000001,0.145,0.09456668093391651,0.27,10.67625,0.16625,0.10281861050737215,0.4,10.7875,0.15700374880966478,0
2026-04-01 12:45:00,7.27,10.22,0.14,24.06,97.7,EXCELENTE,SECO,1.2246467991473532e-16,-1.0,2,1,7.28,0.17,10.84,23.52,7.35,0.2,10.62,23.42,7.33,0.2,10.9,23.07,7.22,0.03,10.81,22.88,7.18,0.23,10.52,22.59,-0.03,-0.06,0.11000000000000001,-0.010000000000000675,-0.6199999999999992,0.5399999999999991,0.19500000000000006,0.05567764362830114,0.27,10.5825,0.15875,0.08271076972541999,0.27,10.6025,0.16062500000000002,0.10155253156207728,0.4,10.768749999999999,0.13102826240640408,0
2026-04-01 13:00:00,7.21,10.33,0.02,23.75,94.9,EXCELENTE,SECO,-0.2588190451025208,-0.9659258262890683,2,1,7.27,0.14,10.22,24.06,7.28,0.17,10.84,23.52,7.3,0.27,10.65,23.39,7.24,0.21,10.36,22.89,7.1,0.11,11.14,22.41,-0.12000000000000001,-0.25,-0.19,-0.05999999999999961,0.10999999999999943,-0.3099999999999987,0.13250000000000006,0.07889866919029824,0.2,10.5025,0.135,0.0925820099772553,0.27,10.598749999999999,0.15500000000000003,0.10689558768567907,0.4,10.718125,0.019802627296179712,0
2026-04-01 13:15:00,7.27,10.79,0.09,24.09,95.5,EXCELENTE,SECO,-0.2588190451025208,-0.9659258262890683,2,1,7.21,0.02,10.33,23.75,7.27,0.14,10.22,24.06,7.35,0.2,10.62,23.42,7.25,0.06,10.59,23.22,7.1,0.14,11.29,22.36,0.06999999999999999,-0.11000000000000001,0.03,0.05999999999999961,0.4599999999999991,0.33999999999999986,0.10500000000000007,0.06557438524302094,0.17,10.545,0.13874999999999998,0.08967202143685317,0.27,10.62375,0.151875,0.10808754168111469,0.4,10.686875,0.08617769624105233,0
2026-04-01 13:30:00,7.27,10.37,0.12,24.15,97.8,EXCELENTE,SECO,-0.2588190451025208,-0.9659258262890683,2,1,7.27,0.09,10.79,24.09,7.21,0.02,10.33,23.75,7.28,0.17,10.84,23.52,7.25,0.02,10.64,23.37,7.19,0.11,10.7,22.78,0.03,-0.05000000000000002,0.09999999999999999,0.0,-0.41999999999999993,0.05999999999999872,0.09250000000000005,0.052519837521963625,0.14,10.4275,0.15125000000000002,0.0767998325891034,0.27,10.59,0.15250000000000002,0.10785793124908974,0.4,10.66625,0.11332868530700317,0
2026-04-01 13:45:00,7.28,10.93,0.31,24.3,95.8,EXCELENTE,SECO,-0.2588190451025208,-0.9659258262890683,2,1,7.27,0.12,10.37,24.15,7.27,0.09,10.79,24.09,7.27,0.14,10.22,24.06,7.33,0.2,10.9,23.07,7.14,0.4,10.53,22.75,0.19,0.16999999999999998,0.10999999999999999,0.010000000000000675,0.5600000000000005,0.15000000000000213,0.13500000000000006,0.12396235987858081,0.31,10.605,0.16499999999999998,0.09456668093391649,0.31,10.59375,0.14687499999999998,0.0957579413591028,0.31,10.69125,0.27002713721306015,0
2026-04-01 14:00:00,7.28,10.24,0.22,24.37,97.7,EXCELENTE,SECO,-0.4999999999999997,-0.8660254037844388,2,1,7.28,0.31,10.93,24.3,7.27,0.12,10.37,24.15,7.21,0.02,10.33,23.75,7.3,0.27,10.65,23.39,7.19,0.18,11.21,22.74,-0.09,0.2,-0.05000000000000002,0.0,-0.6899999999999995,0.07000000000000028,0.18500000000000005,0.10016652800877866,0.31,10.5825,0.15875,0.08806450557890598,0.31,10.5425,0.149375,0.09719182064350908,0.31,10.630625,0.1988508587451652,0
2026-04-01 14:15:00,7.34,10.08,0.03,24.61,98.4,EXCELENTE,SECO,-0.4999999999999997,-0.8660254037844388,2,1,7.28,0.22,10.24,24.37,7.28,0.31,10.93,24.3,7.27,0.09,10.79,24.09,7.35,0.2,10.62,23.42,7.14,0.05,10.98,22.73,-0.19,-0.06,-0.17,0.05999999999999961,-0.16000000000000014,0.23999999999999844,0.17000000000000004,0.12138094304022128,0.31,10.405,0.1375,0.09676923950453335,0.31,10.475,0.148125,0.09867243789427742,0.31,10.574375,0.0295588022415444,0
2026-04-01 14:30:00,7.28,10.2,0.22,24.39,96.2,EXCELENTE,SECO,-0.4999999999999997,-0.8660254037844388,2,1,7.34,0.03,10.08,24.61,7.28,0.22,10.24,24.37,7.27,0.12,10.37,24.15,7.28,0.17,10.84,23.52,7.23,0.28,10.82,22.82,0.19,0.1,0.04999999999999999,-0.05999999999999961,0.11999999999999922,-0.21999999999999886,0.19500000000000006,0.1178982612255164,0.31,10.3625,0.14375000000000002,0.10070288689293595,0.31,10.395,0.144375,0.09437293044088456,0.31,10.535625,0.1988508587451652,0
2026-04-01 14:45:00,7.3,10.23,0.13,24.97,97.9,EXCELENTE,SECO,-0.4999999999999997,-0.8660254037844388,2,1,7.28,0.22,10.2,24.39,7.34,0.03,10.08,24.61,7.28,0.31,10.93,24.3,7.27,0.14,10.22,24.06,7.22,0.03,10.81,22.88,-0.09,-0.18,-0.010000000000000009,0.019999999999999574,0.030000000000001137,0.5799999999999983,0.15000000000000005,0.09055385138137478,0.22,10.1875,0.1425,0.10081808227835787,0.31,10.39625,0.15062499999999998,0.0894776508408666,0.31,10.499375,0.12221763272424921,0
2026-04-01 15:00:00,7.32,10.22,0.1,24.64,97.6,EXCELENTE,SECO,-0.7071067811865471,-0.7071067811865479,2,1,7.3,0.13,10.23,24.97,7.28,0.22,10.2,24.39,7.28,0.22,10.24,24.37,7.21,0.02,10.33,23.75,7.24,0.21,10.36,22.89,-0.03,-0.12,0.08,0.020000000000000462,-0.009999999999999787,-0.3299999999999983,0.12000000000000006,0.07874007874011886,0.22,10.182500000000001,0.1525,0.09035643703846305,0.31,10.3825,0.14375,0.0888350531415764,0.31,10.490625000000001,0.09531017980432487,0
2026-04-01 15:15:00,7.34,9.97,0.25,25.33,96.1,EXCELENTE,SECO,-0.7071067811865471,-0.7071067811865479,2,1,7.32,0.1,10.22,24.64,7.3,0.13,10.23,24.97,7.34,0.03,10.08,24.61,7.27,0.09,10.79,24.09,7.25,0.06,10.59,23.22,0.15,0.22,0.16,0.019999999999999574,-0.25,0.6899999999999977,0.17500000000000004,0.07141428428542924,0.25,10.155000000000001,0.17250000000000001,0.09223417401995247,0.31,10.28,0.155625,0.08958934088383526,0.31,10.451875000000001,0.22314355131420976,0
